question,answer,tags,description
saya tak boleh login di flabee app,"Sila cuba langkah berikut ya:
 
 1️⃣ Buka aplikasi Flabee Care
 2️⃣ Tekan “Lupa Kata Laluan / Forgot Password” di skrin log masuk
 3️⃣ Masukkan email yang didaftarkan
 4️⃣ Masukkan kod OTP yang diterima melalui email / whatsapp
 5️⃣ Tetapkan kata laluan baru dan cuba login semula
 
 Jika masih tidak berjaya login, mohon berikan maklumat berikut untuk bantuan lanjut:
 
 📌 Nama penuh:
 📌 Email:
 📌 Nombor telefon:
 📌 Cawangan & tarikh scan (jika ada):
 
 Kami sedia bantu puan/encik secepat mungkin! 🌸",Account; Login; Flabee Care,""
bagaimana nak reschedule appointment saya?,"Langkah-langkah Reschedule Appointment
 
 1. Buka aplikasi Flabee Care dan log masuk menggunakan akaun anda. 
 
 
 2. Pergi ke menu “Appointments” atau “Janji Temu” — biasanya tersedia di tab utama atau dalam menu profil.
 
 
 3. Pilih janji temu yang ingin anda tukar. Anda akan melihat butang seperti “Reschedule”, “Tukar Janji Temu” atau simbol pen. 
 
 
 4. Klik pilihan itu dan pilih tarikh serta masa baru yang sesuai dengan jadual anda.
 
 
 5. Sahkan pilihan anda, dan aplikasi akan mengemas kini janji temu tersebut. Anda mungkin juga menerima pengesahan melalui emel atau notifikasi. Sekiranya anda menghadapi sebarang masalah, sila hubungi pasukan khidmat pelanggan kami di cawangan pilihan anda 0189092933 - KL/SELANGOR 0149317226 - NEGERI SEMBILAN/JOHOR/SABAH/SARAWAK/MELAKA/PAHANG 0143577226 - KANGAR/PENAG/KELANTAN/PERAK/TERENGGANU",Appointment; Reschedule,""
bagaimana cara nak tukar email?,"Baik, puan/encik! Untuk kemaskini maklumat emel dan nombor telefon di Flabee Care, sila ikut langkah berikut:
 
 1. Log masuk ke aplikasi Flabee Care.
 
 
 2. Pergi ke tab ‘Akaun Saya’ (atau ikon profil).
 
 
 3. Tekan ikon ⚙️ Tetapan / Edit di bahagian maklumat email
 
 
 4. Masukkan email baru.
 
 
 5. Sahkan melalui kod pengesahan yang akan dihantar ke emel atau SMS.
 
 
 6. Setelah disahkan, maklumat akan dikemaskini secara automatik!",Account; Update; Email,""
Saya guna nombor lama. Boleh tukar nombor telefon?,"Baik, puan/encik! Untuk kemaskini maklumat emel dan nombor telefon di Flabee Care, sila ikut langkah berikut:
 
 1. Log masuk ke aplikasi Flabee Care.
 
 
 2. Pergi ke tab ‘Akaun Saya’ (atau ikon profil).
 
 
 3. Tekan ikon ⚙️ Tetapan / Edit di bahagian maklumat nombor telefon.
 
 
 4. Masukkan nombor telefon baru.
 
 
 5. Sahkan melalui kod pengesahan yang akan dihantar ke emel atau SMS.
 
 
 6. Setelah disahkan, maklumat akan dikemaskini secara automatik!",Account; Update; Phone,""
Saya sudah padam akaun Flabee saya.. bagaimana cara nak dapatkan softcopy semula?,"Jangan risau puan/encik, kami masih boleh bantu.
 
 Sila berikan maklumat berikut untuk rujukan kami:
 📌 Nama penuh:
 📌 Email semasa tempahan:
 📌 Nombor telefon:
 📌 Cawangan (Branch):
 📌 Tarikh scan:
 📌 Pakej/jenis imbasan:
 
 Kami akan semak dalam sistem dan bantu puan/encik. 🌸",Account; Softcopy; Ultrasound,""
saya tak boleh tengok video di aplikasi,"Maaf atas kesulitan puan/encik. Kami sedia bantu! 🌸
 
 Sila ikut langkah berikut:
 
 1. Jika video masih dalam proses, mohon tunggu dalam tempoh 24 jam.
 
 
 2. Jika selepas 24 jam masih tidak boleh view/play, mohon PM semula dan sertakan butiran berikut untuk semakan:
 
 
 
 📌 Nama penuh:
 📌 Email semasa tempahan:
 📌 Nombor telefon:
 📌 Tarikh & cawangan scan:
 📌 Model telefon:",Account; Softcopy; Ultrasound,""
saya di luar negara dan tak boleh booking di website,"Jika puan/encik berada di luar negara dan tidak dapat buat tempahan melalui laman web, sila:
 
 📲 Muat turun aplikasi Flabee Care dari App Store atau Google Play untuk buat tempahan.
 
 Jika masih ada masalah akses atau tidak dapat daftar akaun, sila hubungi khidmat pelanggan kami di cawangan mengikut negeri:
 
 📌 Customer Service Ultrasound:
 
 1️⃣ 014-3577226
 📍 Kangar, Penang, Kedah, Kelantan, Perak, Terengganu
 
 2️⃣ 018-9092933
 📍 Kuala Lumpur, Selangor
 
 3️⃣ 014-9317226
 📍 Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang
 
 Kami sedia membantu puan/encik untuk proses tempahan dan semakan ya! 🌸",Appointment; Booking,""
saya tak boleh login no telefon telah wujud,"Masalah ini biasanya berlaku jika nombor telefon telah didaftarkan sebelum ini.
 
 Sila cuba langkah berikut ya:
 
 1️⃣ Buka aplikasi Flabee Care
 2️⃣ Tekan “Lupa Kata Laluan / Forgot Password” di skrin log masuk
 3️⃣ Masukkan email yang didaftarkan
 4️⃣ Masukkan kod OTP yang diterima melalui email / whatsapp
 5️⃣ Tetapkan kata laluan baru dan cuba login semula
 
 Jika masih tidak berjaya login, mohon berikan maklumat berikut untuk bantuan lanjut:
 
 📌 Nama penuh:
 📌 Email:
 📌 Nombor telefon:
 📌 Cawangan & tarikh scan (jika ada):
 
 Kami sedia bantu puan/encik secepat mungkin! 🌸",Account; Login; Phone,""
saya masih belum menerima promo code,"Sila semak notifikasi di aplikasi Flabee Care atau periksa emel anda untuk kod promosi repeat scan. Ingat check spam inbox juga ya.
 Jika masih belum menerima, sila isi maklumat di bawah dan kami akan bantu semakan:
 
 📌 Nama:
 📌 Email:
 📌 Nombor Telefon:
 📌 Cawangan (Branch):
 📌 Tarikh Scan:
 
 Terima kasih! 🌸",Repeat Scan; Promo Code; Email,""
"Saya cuba guna kod promosi untuk repeat scan tapi keluar error. Kenapa tak boleh apply?""","Maaf atas kesulitan puan/encik. Promo code ini kena pilih outlet dan servis yang sama seperti appointment yg lepas ya. Promo kod ini juga kena guna dalam tempoh 14 hari selepas tarikh scan ya.
  
 Awak boleh rujuk sini utk langkah langkah penuh:
 https://flabee.com/flabee-care/faq/how-to-redeem-promo-code/
 
 Kalau sudah check semua di atas dan masih tak boleh lagi, mohon puan/encik isi maklumat berikut:
 
 📌 Nama:
 📌 Email:
 📌 Nombor Telefon:
 📌 Cawangan (Branch):
 📌 Tarikh Scan :
 📌 Kod Promo Digunakan (jika ada):
 
 Kami akan semak dan bantu secepat mungkin ya. 🌸",Repeat Scan; Promo Code; Email,https://flabee.com/flabee-care/faq/how-to-redeem-promo-code/
bagaimana cara nak tukar pakej ?,"Untuk menukar pakej dalam aplikasi Flabee Care, sila ikut langkah berikut:
 
 1️⃣ Buka aplikasi Flabee Care
 2️⃣ Pergi ke menu “Temujanji Saya (My Appointment)”
 3️⃣ Tekan “Urus Temujanji (Manage Appointment)”
 4️⃣ Pilih “Tukar Servis (Change Service)”
 5️⃣ Pilih servis/pakej baru yang ingin ditukar
 6️⃣ Klik “Sahkan (Confirm)” untuk sahkan pertukaran
 
 Jika ada masalah semasa proses ini, sila hubungi Khidmat Pelanggan Ultrasound mengikut kawasan:
 
 1️⃣ 014-3577226 – Kangar, Pulau Pinang, Kedah, Kelantan, Perak, Terengganu
 2️⃣ 018-9092933 – Kuala Lumpur, Selangor
 3️⃣ 014-9317226 – Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang
 
 Kami sedia membantu puan/encik! 🌸",Appointment; Change Package; Change Service,""
